title,postCreated,link,source,interest,accessibility,relevance,total_score
Introducing Gemini 2.5 Flash,False,https://deepmind.google/discover/blog/introducing-gemini-2-5-flash/,https://www.deepmind.com/blog/rss.xml,5,5,5.0,5.0
Generate videos in Gemini and Whisk with Veo 2,False,https://deepmind.google/discover/blog/generate-videos-in-gemini-and-whisk-with-veo-2/,https://www.deepmind.com/blog/rss.xml,5,5,5.0,5.0
DolphinGemma: How Google AI is helping decode dolphin communication,True,https://deepmind.google/discover/blog/dolphingemma-how-google-ai-is-helping-decode-dolphin-communication/,https://www.deepmind.com/blog/rss.xml,8,9,7.0,8.0
Taking a responsible path to AGI,False,https://deepmind.google/discover/blog/taking-a-responsible-path-to-agi/,https://www.deepmind.com/blog/rss.xml,8,7,6.0,7.0
Evaluating potential cybersecurity threats of advanced AI,False,https://deepmind.google/discover/blog/evaluating-potential-cybersecurity-threats-of-advanced-ai/,https://www.deepmind.com/blog/rss.xml,5,5,5.0,5.0
Load-Testing LLMs Using LLMPerf,False,https://towardsdatascience.com/601488-2/,https://towardsdatascience.com/feed,7,8,8.0,7.666666666666667
When Physics Meets Finance: Using AI to Solve Black-Scholes,False,https://towardsdatascience.com/when-physics-meets-finance-using-ai-to-solve-black-scholes/,https://towardsdatascience.com/feed,6,8,7.0,7.0
Google’s New AI System Outperforms Physicians in Complex Diagnoses,True,https://towardsdatascience.com/googles-new-ai-system-outperforms-physicians-in-complex-diagnoses/,https://towardsdatascience.com/feed,7,8,9.0,8.0
The Good-Enough Truth,True,https://towardsdatascience.com/the-good-enough-truth/,https://towardsdatascience.com/feed,8,7,9.0,8.0
When Predictors Collide: Mastering VIF in Multicollinear Regression,False,https://towardsdatascience.com/when-predictors-collide-mastering-vif-in-multicollinear-regression/,https://towardsdatascience.com/feed,7,8,6.0,7.0
How Netflix Accurately Attributes eBPF Flow Logs,False,https://netflixtechblog.com/how-netflix-accurately-attributes-ebpf-flow-logs-afe6d644a3bc?source=rss----2615bd06b42e---4,https://netflixtechblog.com/feed,7,8,6.0,7.0
Globalizing Productions with Netflix’s Media Production Suite,False,https://netflixtechblog.com/globalizing-productions-with-netflixs-media-production-suite-fc3c108c0a22?source=rss----2615bd06b42e---4,https://netflixtechblog.com/feed,7,8,6.0,7.0
Foundation Model for Personalized Recommendation,False,https://netflixtechblog.com/foundation-model-for-personalized-recommendation-1a0bd8e02d39?source=rss----2615bd06b42e---4,https://netflixtechblog.com/feed,7,8,5.0,6.666666666666667
HDR10+ Now Streaming on Netflix,False,https://netflixtechblog.com/hdr10-now-streaming-on-netflix-c9ab1f4bd72b?source=rss----2615bd06b42e---4,https://netflixtechblog.com/feed,7,8,3.0,6.0
Title Launch Observability at Netflix Scale,False,https://netflixtechblog.com/title-launch-observability-at-netflix-scale-8efe69ebd653?source=rss----2615bd06b42e---4,https://netflixtechblog.com/feed,8,7,6.0,7.0
A Behind-the-Scenes Look at How We Release the Spotify App (Part 1),False,https://engineering.atspotify.com/2025/04/how-we-release-the-spotify-app-part-1/,https://engineering.atspotify.com/feed/,7,8,5.0,6.666666666666667
An Insider’s Tips for Taking the Certified Backstage Associate (CBA) Exam,False,https://engineering.atspotify.com/2025/03/certified-backstage-associate-exam-tips/,https://engineering.atspotify.com/feed/,5,5,5.0,5.0
Building Confidence: A Case Study in How to Create Confidence Scores for GenAI Applications,False,https://engineering.atspotify.com/2024/12/building-confidence-a-case-study-in-how-to-create-confidence-scores-for-genai-applications/,https://engineering.atspotify.com/feed/,5,5,5.0,5.0
Congratulations to the Recipients of the 2024 Spotify FOSS Fund,False,https://engineering.atspotify.com/2024/11/congratulations-to-the-recipients-of-the-2024-spotify-foss-fund/,https://engineering.atspotify.com/feed/,5,5,5.0,5.0
How We Generated Millions of Content Annotations,False,https://engineering.atspotify.com/2024/10/how-we-generated-millions-of-content-annotations/,https://engineering.atspotify.com/feed/,5,5,5.0,5.0
"Generating components, not tokens",False,https://stackoverflow.blog/2025/04/18/generating-components-not-tokens/,https://stackoverflow.blog/feed/,5,5,5.0,5.0
"Wait, what is agentic AI?",False,https://stackoverflow.blog/2025/04/17/wait-what-is-agentic-ai/,https://stackoverflow.blog/feed/,5,5,5.0,5.0
Engineering teams need to adapt to AI’s scaling challenges,False,https://stackoverflow.blog/2025/04/16/engineering-teams-need-to-adapt-to-ai-scaling-challenges/,https://stackoverflow.blog/feed/,5,5,5.0,5.0
WBIT #7: Exploring WebAssembly with the first SO user to get 10k rep,False,https://stackoverflow.blog/2025/04/16/wbit-7-exploring-webassembly-with-the-first-so-user-to-get-10k-rep/,https://stackoverflow.blog/feed/,5,5,5.0,5.0
"Smarter insights, stronger teams: New features for Stack Overflow for Teams",False,https://stackoverflow.blog/2025/04/15/smarter-insights-stronger-teams-new-features-for-stack-overflow-for-teams/,https://stackoverflow.blog/feed/,5,5,5.0,5.0
What kind of disruption?,False,https://www.ben-evans.com/benedictevans/2025/3/14/what-kind-of-disruption,https://www.ben-evans.com/benedictevans?format=rss,7,8,6.0,7.0
Apple innovation and execution,False,https://www.ben-evans.com/benedictevans/2025/3/13/apple-innovation-and-execution,https://www.ben-evans.com/benedictevans?format=rss,6,8,5.0,6.333333333333333
The Deep Research problem,False,https://www.ben-evans.com/benedictevans/2025/2/17/the-deep-research-problem,https://www.ben-evans.com/benedictevans?format=rss,7,8,6.0,7.0
Are better models better?,False,https://www.ben-evans.com/benedictevans/2025/1/the-problem-with-better-models,https://www.ben-evans.com/benedictevans?format=rss,7,8,6.0,7.0
Competing in search,True,https://www.ben-evans.com/benedictevans/2024/8/19/competing-in-search,https://www.ben-evans.com/benedictevans?format=rss,8,7,9.0,8.0
Meta Open Source: 2024 by the numbers,False,https://engineering.fb.com/2025/04/02/open-source/meta-open-source-by-the-numbers/,https://engineering.fb.com/feed/,7,8,6.0,7.0
Mobile GraphQL at Meta in 2025,False,https://engineering.fb.com/2025/03/31/data-infrastructure/mobile-graphql-meta-2025/,https://engineering.fb.com/feed/,7,8,4.0,6.333333333333333
Building multimodal AI for Ray-Ban Meta glasses,False,https://engineering.fb.com/2025/03/04/virtual-reality/building-multimodal-ai-for-ray-ban-meta-glasses/,https://engineering.fb.com/feed/,3,6,2.0,3.6666666666666665
A case for QLC SSDs in the data center,False,https://engineering.fb.com/2025/03/04/data-center-engineering/a-case-for-qlc-ssds-in-the-data-center/,https://engineering.fb.com/feed/,7,8,6.0,7.0
How Meta is translating its Java codebase to Kotlin,False,https://engineering.fb.com/2025/02/25/android/how-meta-is-translating-its-java-codebase-to-kotlin/,https://engineering.fb.com/feed/,3,7,2.0,4.0
How Smartsheet reduced latency and optimized costs in their serverless architecture,False,https://aws.amazon.com/blogs/architecture/how-smartsheet-reduced-latency-and-optimized-costs-in-their-serverless-architecture/,https://aws.amazon.com/blogs/architecture/feed/,7,8,6.0,7.0
Announcing the AWS Well-Architected Generative AI Lens,False,https://aws.amazon.com/blogs/architecture/announcing-the-aws-well-architected-generative-ai-lens/,https://aws.amazon.com/blogs/architecture/feed/,8,7,9.0,8.0
Build and operate an effective architecture review board,False,https://aws.amazon.com/blogs/architecture/build-and-operate-an-effective-architecture-review-board/,https://aws.amazon.com/blogs/architecture/feed/,7,8,6.0,7.0
How UNiDAYS achieved AWS Region expansion in 3 weeks,False,https://aws.amazon.com/blogs/architecture/how-unidays-achieved-aws-region-expansion-in-3-weeks/,https://aws.amazon.com/blogs/architecture/feed/,7,8,6.0,7.0
Announcing the Well-Architected Data Residency with Hybrid Cloud Services Lens,False,https://aws.amazon.com/blogs/architecture/announcing-the-well-architected-data-residency-with-hybrid-cloud-services-lens/,https://aws.amazon.com/blogs/architecture/feed/,8,7,9.0,8.0
InstructPipe: Generating Visual Blocks pipelines with human instructions and LLMs,False,https://research.google/blog/instructpipe-generating-visual-blocks-pipelines-with-human-instructions-and-llms/,https://research.google/blog/rss/,5,5,5.0,5.0
Teaching machines the language of biology: Scaling large language models for next-generation single-cell analysis,False,https://research.google/blog/teaching-machines-the-language-of-biology-scaling-large-language-models-for-next-generation-single-cell-analysis/,https://research.google/blog/rss/,8,7,9.0,8.0
Geospatial Reasoning: Unlocking insights with generative AI and multiple foundation models,False,https://research.google/blog/geospatial-reasoning-unlocking-insights-with-generative-ai-and-multiple-foundation-models/,https://research.google/blog/rss/,9,7,8.0,8.0
Evaluating progress of LLMs on scientific problem-solving,False,https://research.google/blog/evaluating-progress-of-llms-on-scientific-problem-solving/,https://research.google/blog/rss/,8,7,9.0,8.0
ECLeKTic: A novel benchmark for evaluating cross-lingual knowledge transfer in LLMs,False,https://research.google/blog/eclektic-a-novel-benchmark-for-evaluating-cross-lingual-knowledge-transfer-in-llms/,https://research.google/blog/rss/,8,7,9.0,8.0
Fennel Joins Databricks to Democratize Access to Machine Learning,False,https://www.databricks.com/blog/fennel-joins-databricks-democratize-access-machine-learning,https://databricks.com/feed,5,5,5.0,5.0
Five Areas Where AI Agents Will Transform the Retail Industry,False,https://www.databricks.com/blog/five-areas-where-ai-agents-will-transform-retail-industry,https://databricks.com/feed,5,5,5.0,5.0
Databricks Assistant Tips and Tricks for Data Analysts,False,https://www.databricks.com/blog/databricks-assistant-tips-and-tricks-data-analysts,https://databricks.com/feed,5,5,5.0,5.0
Resolving Manufacturing Quality with Machine Vision and MLOps,False,https://www.databricks.com/blog/resolving-manufacturing-quality-machine-vision-and-mlops,https://databricks.com/feed,5,5,5.0,5.0
Navigating Tariffs: Revolutionizing Decision-Making in a Complex World,False,https://www.databricks.com/blog/navigating-tariffs-revolutionizing-decision-making-complex-world,https://databricks.com/feed,5,5,5.0,5.0
FacetController: How we made infrastructure changes at Lyft simple,False,https://eng.lyft.com/facetcontroller-how-we-made-infrastructure-changes-at-lyft-simple-dab49f5b27c7?source=rss----25cd379abb8---4,https://eng.lyft.com/feed,7,6,8.0,7.0
Using Marketplace Marginal Values to Address Interference Bias,False,https://eng.lyft.com/using-marketplace-marginal-values-to-address-interference-bias-a11aff6e670f?source=rss----25cd379abb8---4,https://eng.lyft.com/feed,7,8,6.0,7.0
Cartography joins the CNCF,False,https://eng.lyft.com/cartography-joins-the-cncf-6f6b7be099a7?source=rss----25cd379abb8---4,https://eng.lyft.com/feed,7,8,6.0,7.0
Integrating Extensions into Large-Scale iOS apps,False,https://eng.lyft.com/integrating-extensions-into-large-scale-ios-apps-8f15dc5f3be9?source=rss----25cd379abb8---4,https://eng.lyft.com/feed,6,8,4.0,6.0
Protocol Buffer Design: Principles and Practices for Collaborative Development,False,https://eng.lyft.com/protocol-buffer-design-principles-and-practices-for-collaborative-development-8f5aa7e6ed85?source=rss----25cd379abb8---4,https://eng.lyft.com/feed,7,6,9.0,7.333333333333333
"How a New AI Architecture Unifies 1,000+ Sources and 100 Million Rows in 5 Minutes",False,https://engineering.salesforce.com/how-a-new-ai-architecture-unifies-1000-sources-and-100-million-rows-in-5-minutes/,https://engineering.salesforce.com/feed/,8,7,9.0,8.0
"Engineering Agentforce: Building a Modular, Multi-Model Framework for Enterprise AI AgentsFalse",https://engineering.salesforce.com/engineering-agentforce-building-a-modular-multi-model-framework-for-enterprise-ai-agents/,https://engineering.salesforce.com/feed/,8,7,9,,
Scaling Real-Time Search to 30 Billion Queries with Sub-Second Latency and 0% Downtime,False,https://engineering.salesforce.com/scaling-real-time-search-to-30-billion-queries-with-sub-second-latency-and-0-downtime/,https://engineering.salesforce.com/feed/,8,7,6.0,7.0
Detecting OpenAI & AI Provider Issues in Under 10 Minutes with a New Observability System,False,https://engineering.salesforce.com/detecting-openai-ai-provider-issues-in-under-10-minutes-with-a-new-observability-system/,https://engineering.salesforce.com/feed/,6,8,4.0,6.0
Agentforce: Scaling Agentic AI for Enterprise Automation & Observability—Powering 2 Billion Predictions Monthly,False,https://engineering.salesforce.com/agentforce-scaling-agentic-ai-for-enterprise-automation-observability-powering-2-billion-predictions-monthly/,https://engineering.salesforce.com/feed/,8,7,9.0,8.0
jlowin /        fastmcp,False,https://github.com/jlowin/fastmcp,GitHub Trending,7,8,9.0,8.0
virattt /        ai-hedge-fund,False,https://github.com/virattt/ai-hedge-fund,GitHub Trending,8,6,9.0,7.666666666666667
potpie-ai /        potpie,True,https://github.com/potpie-ai/potpie,GitHub Trending,9,8,10.0,9.0
All-Hands-AI /        OpenHands,False,https://github.com/All-Hands-AI/OpenHands,GitHub Trending,8,7,9.0,8.0
dataelement /        bisheng,False,https://github.com/dataelement/bisheng,GitHub Trending,7,8,9.0,8.0
A Behind-the-Scenes Look at How We Release the Spotify App (Part 1),False,https://engineering.atspotify.com/2025/4/how-we-release-the-spotify-app-part-1/,https://engineering.atspotify.com/feed/,7,8,5.0,6.666666666666667
Celebrating Five Years of Backstage: From Open Source Project to Enterprise Business,False,https://engineering.atspotify.com/2025/4/celebrating-five-years-of-backstage/,https://engineering.atspotify.com/feed/,7,8,6.0,7.0
Behind the Scenes: Building a Robust Ads Event Processing Pipeline,False,https://netflixtechblog.com/behind-the-scenes-building-a-robust-ads-event-processing-pipeline-e4e86caf9249?source=rss----2615bd06b42e---4,https://netflixtechblog.com/feed,8,7,7.0,7.333333333333333
An Insider’s Tips for Taking the Certified Backstage Associate (CBA) Exam,False,https://engineering.atspotify.com/2025/3/certified-backstage-associate-exam-tips/,https://engineering.atspotify.com/feed/,7,8,6.0,7.0
"Incident Report: Spotify Outage on April 16, 2025",False,https://engineering.atspotify.com/2025/5/incident-report-spotify-outage-on-april-16-2025/,https://engineering.atspotify.com/feed/,7,8,6.0,7.0
Measuring Dialogue Intelligibility for Netflix Content,False,https://netflixtechblog.com/measuring-dialogue-intelligibility-for-netflix-content-58c13d2a6f6e?source=rss----2615bd06b42e---4,https://netflixtechblog.com/feed,7,8,5.0,6.666666666666667
How To Build a Benchmark for Your Models,False,https://towardsdatascience.com/how-to-build-a-benchmark-for-your-models/,https://towardsdatascience.com/feed,8,7,9.0,8.0
Google’s AlphaEvolve Is Evolving New Algorithms — And It Could Be a Game Changer,False,https://towardsdatascience.com/googles-alphaevolve-is-evolving-new-algorithms-and-it-could-be-a-game-changer/,https://towardsdatascience.com/feed,8,7,9.0,8.0
Understanding Random Forest using Python (scikit-learn),False,https://towardsdatascience.com/understanding-random-forest-using-python-scikit-learn/,https://towardsdatascience.com/feed,8,7,9.0,8.0
How to Learn the Math Needed for Machine Learning,False,https://towardsdatascience.com/how-to-learn-the-math-needed-for-machine-learning/,https://towardsdatascience.com/feed,8,9,7.0,8.0
🚪🚪🐐 Lessons in Decision Making from the Monty Hall Problem,False,https://towardsdatascience.com/lessons-in-decision-making-from-the-monty-hall-problem-2/,https://towardsdatascience.com/feed,7,8,6.0,7.0
"Whether AI is a bubble or revolution, how does software survive?",False,https://stackoverflow.blog/2025/05/15/whether-ai-is-a-bubble-or-revolution-how-does-software-survive/,https://stackoverflow.blog/feed/,8,7,9.0,8.0
Is the enterprise (actually) ready for AI?,False,https://stackoverflow.blog/2025/05/13/is-the-enterprise-actually-ready-for-ai/,https://stackoverflow.blog/feed/,8,7,9.0,8.0
Next-level observability: live breakpoint debugging,False,https://stackoverflow.blog/2025/05/13/next-level-observability-live-breakpoint-debugging/,https://stackoverflow.blog/feed/,7,6,5.0,6.0
Using AI to find patient zero in  marketing campaigns,False,https://stackoverflow.blog/2025/05/09/using-ai-to-find-patient-zero-in-marketing-campaigns/,https://stackoverflow.blog/feed/,7,8,6.0,7.0
Open-sourcing Pyrefly: A faster Python type checker written in Rust,False,https://engineering.fb.com/2025/05/15/developer-tools/open-sourcing-pyrefly-a-faster-python-type-checker-written-in-rust/,https://engineering.fb.com/feed/,8,7,9.0,8.0
Taking the plunge: The engineering journey of building a subsea cable,False,https://engineering.fb.com/2025/05/01/connectivity/taking-the-plunge-the-engineering-journey-of-building-a-subsea-cable/,https://engineering.fb.com/feed/,6,8,3.0,5.666666666666667
Enhancing the Python ecosystem with type checking and free threading,False,https://engineering.fb.com/2025/05/05/developer-tools/enhancing-the-python-ecosystem-with-type-checking-and-free-threading/,https://engineering.fb.com/feed/,8,7,9.0,8.0
Gemini 2.5 Pro Preview: even better coding performance,False,https://deepmind.google/discover/blog/gemini-25-pro-preview-even-better-coding-performance/,https://www.deepmind.com/blog/rss.xml,8,7,9.0,8.0
"Build rich, interactive web apps with an updated Gemini 2.5 Pro",False,https://deepmind.google/discover/blog/build-rich-interactive-web-apps-with-an-updated-gemini-25-pro/,https://www.deepmind.com/blog/rss.xml,7,8,5.0,6.666666666666667
"Music AI Sandbox, now with new features and broader access",False,https://deepmind.google/discover/blog/music-ai-sandbox-now-with-new-features-and-broader-access/,https://www.deepmind.com/blog/rss.xml,8,7,6.0,7.0
Implement event-driven invoice processing for resilient financial monitoring at scale,False,https://aws.amazon.com/blogs/architecture/implement-event-driven-invoice-processing-for-resilient-financial-monitoring-at-scale/,https://aws.amazon.com/blogs/architecture/feed/,7,8,6.0,7.0
Deeper insights into retrieval augmented generation: The role of sufficient context,False,https://research.google/blog/deeper-insights-into-retrieval-augmented-generation-the-role-of-sufficient-context/,https://research.google/blog/rss/,8,7,9.0,8.0
Bringing 3D shoppable products online with generative AI,False,https://research.google/blog/bringing-3d-shoppable-products-online-with-generative-ai/,https://research.google/blog/rss/,8,7,6.0,7.0
Differential privacy on trust graphs,False,https://research.google/blog/differential-privacy-on-trust-graphs/,https://research.google/blog/rss/,8,6,9.0,7.666666666666667
Making complex text understandable: Minimally-lossy text simplification with Gemini,False,https://research.google/blog/making-complex-text-understandable-minimally-lossy-text-simplification-with-gemini/,https://research.google/blog/rss/,7,8,5.0,6.666666666666667
A new light on neural connections,False,https://research.google/blog/a-new-light-on-neural-connections/,https://research.google/blog/rss/,8,7,9.0,8.0
Handling Network Throttling with AWS EC2 at Pinterest,False,https://medium.com/@Pinterest_Engineering/handling-network-throttling-with-aws-ec2-at-pinterest-fda0efc21083?source=rss-ef81ef829bcb------2,https://medium.com/feed/@Pinterest_Engineering,8,7,6.0,7.0
Migrating 3.7 Million Lines of Flow Code to TypeScript,False,https://medium.com/pinterest-engineering/migrating-3-7-million-lines-of-flow-code-to-typescript-8a836c88fea5?source=rss-ef81ef829bcb------2,https://medium.com/feed/@Pinterest_Engineering,7,8,5.0,6.666666666666667
"Engineering Data Cloud Governance: Achieving Structured Security Across 300,000 Orgs",False,https://engineering.salesforce.com/scaling-data-cloud-governance-achieving-structured-security-across-300000-orgs/,https://engineering.salesforce.com/feed/,8,6,9.0,7.666666666666667
"Scaling Data Cloud for Agentforce and AI: Rethinking Metadata, Activation, and Governance at Hyperscale",False,https://engineering.salesforce.com/scaling-data-cloud-for-agentforce-and-ai-rethinking-metadata-activation-and-governance-at-hyperscale/,https://engineering.salesforce.com/feed/,8,6,9.0,7.666666666666667
Improving Pinterest Search Relevance Using Large Language Models,False,https://medium.com/pinterest-engineering/improving-pinterest-search-relevance-using-large-language-models-4cd938d4e892?source=rss-ef81ef829bcb------2,https://medium.com/feed/@Pinterest_Engineering,8,7,9.0,8.0
Solving the Mystery of the Slow Hash Table,False,https://engineering.blackrock.com/solving-the-mystery-of-the-slow-hash-table-616627a270c5?source=rss----e8ae0174b0d8---4,https://engineering.blackrock.com/feed/,7,8,6.0,7.0
How Hyperforce Edge Networking Scales to Handle 20 Million Domains on Just 30GB of RAM,False,https://engineering.salesforce.com/how-hyperforce-edge-networking-scales-to-handle-20-million-domains-on-just-30gb-of-ram/,https://engineering.salesforce.com/feed/,8,7,9.0,8.0
Think Like an Octopus (in Python),False,https://engineering.blackrock.com/think-like-an-octopus-in-python-a4beb65e04e3?source=rss----e8ae0174b0d8---4,https://engineering.blackrock.com/feed/,7,8,6.0,7.0
Martech Ecosystem Thrives on Databricks Marketplace,False,https://www.databricks.com/blog/martech-ecosystem-thrives-databricks-marketplace,https://databricks.com/feed,7,8,6.0,7.0
Welcoming Stephen Orban as SVP Product Ecosystem & Partnerships,False,https://www.databricks.com/blog/welcoming-stephen-orban-svp-product-ecosystem-partnerships,https://databricks.com/feed,5,8,6.0,6.333333333333333
Databricks + Neon,False,https://www.databricks.com/blog/databricks-neon,https://databricks.com/feed,7,8,6.0,7.0
Real-Time Spatial Temporal Forecasting @ Lyft,False,https://eng.lyft.com/real-time-spatial-temporal-forecasting-lyft-fa90b3f3ec24?source=rss----25cd379abb8---4,https://eng.lyft.com/feed,8,7,9.0,8.0
mikumifa /        biliTickerBuy,False,https://github.com/mikumifa/biliTickerBuy,GitHub Trending,1,1,1.0,1.0
openai /        simple-evals,False,https://github.com/openai/simple-evals,GitHub Trending,7,8,9.0,8.0
xming521 /        WeClone,False,https://github.com/xming521/WeClone,GitHub Trending,2,2,1.0,1.6666666666666667
airweave-ai /        airweave,False,https://github.com/airweave-ai/airweave,GitHub Trending,8,7,9.0,8.0
mem0ai /        mem0,False,https://github.com/mem0ai/mem0,GitHub Trending,8,9,10.0,9.0
The Executive Guide to the Data Strategy Track at the Data + AI Summit,False,https://www.databricks.com/blog/executive-guide-data-strategy-track-data-ai-summit,https://databricks.com/feed,7,8,9.0,8.0
